Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_730.jpg;0;0;1;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_772.jpg;0;0;0;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_822.jpg;0;0;0;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_872.jpg;0;0;0;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_922.jpg;0;0;0;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_04_972.jpg;0;0;0;0;99.66999;85.58897;0.0002370976;48.02774;2.133346E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_05_022.jpg;0;0;0;0;99.66999;85.58897;0.0002370594;48.02774;2.232988E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_05_072.jpg;0;0;0;0;99.66999;85.58897;0.0002370211;48.02774;2.332629E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_05_123.jpg;0;0;0;0;99.66999;85.58897;0.0002369638;48.02774;2.482094E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_05_172.jpg;0;0;0;0;99.66999;85.58897;0.0002369256;48.02774;2.581735E-06
/home/shenghan/code/RoboND/RoboND-Rover-Project/image_data/IMG/robocam_2018_07_01_11_16_05_222.jpg;0;0;0;0;99.66999;85.58897;0.0002368683;48.02774;2.7312E-06
